video_id,channel_name,video_title,view_count
UgOMektm_wU,WalesOnline,"Meet Trevor, the hero pensioner who fought off his would be robber",5400000
ODtPjTZSTSU,WalesOnline,Jeremy Vine squirms on air as Welsh miner demands to know if he thinks he's worth his Â£700K salary,1000000
R1JNHgN9TZQ,WalesOnline,I ate and trained like a professional rugby player for six weeks,1000000
M-eyTr0njmo,WalesOnline,Fans in Japan sing the Welsh national anthem | Rugby World Cup 2019,822000
pytDUR1hMNM,WalesOnline,Adorable moment baby grabs Kate Middletons bag during Royal Visit and won't give it back,431000
9SLRaWHnhfw,WalesOnline,Hidden camera uncovers exploitation and pressure-selling at direct sales firm,250000
JnBtv14qmIY,WalesOnline,This is the beautiful final resting place of Sinead O'Connor,237000
fVH31uPLhRU,WalesOnline,Emotional scenes as MP who had hands and feet amputated due to sepsis returns to Parliament,182000
YPleky-HHAE,WalesOnline,Men with knife and hammer fight in street in middle of afternoon,94000
0XdyQBvyHH4,WalesOnline,An American tries Welsh food for the first time,92000
6TqVp7wxxgI,WalesOnline,Wales team visits Japanese school | Rugby World Cup 2019,82000
KUlbyAWOXbw,WalesOnline,Woman left dangling in mid air after being lifted off her feet by shop shutters,82000
HRjFH6vhkog,WalesOnline,These are the weapons armed police carry on patrol,77000
l2yI1xVW-N0,WalesOnline,An American tries to pronounce Welsh place names,73000
WHgbjFS4jo8,WalesOnline,Max Boyce reads his coronavirus poem When Just The Tide Went Out,63000
RoF7VtsTvmw,WalesOnline,Speaker Lindsay Hoyle Hoyle explodes in rage at Kemi Badenoch in House of Commons,62000
iIKBikooTWU,WalesOnline,The longest train announcement in the world,56000
JVB2EUgvUOA,WalesOnline,One year on: How people in the Valleys feel about Brexit,55000
BJ2XTNCC6Bo,WalesOnline,The 90-year-old woman who can do the splits,55000
e9Jsd7XLK50,WalesOnline,Santa's Special Christmas Eve Message,54000
r8Y-AF43esQ,WalesOnline,Young girl meeting the Queen gets hit by saluting soldier,46000
XRyzVbt4ZhI,WalesOnline,The victim of one of the worst ever domestic abuse cases tells her story,45000
om2CJvXFey8,WalesOnline,Video shows moment cruise ship carrying British tourists collides with vessel in Mallorca,45000
CKDPmNiTDq8,WalesOnline,Moment low-flying Chinook helicopter thunders over Welsh beach,45000
j7jmqvA42js,WalesOnline,Dafydd Iwan turns up at Wales World Cup party in Doha and sings Yma o Hyd,36000
i02GWuIJqnI,WalesOnline,A history of Wales in 99 seconds,36000
dI42iOM1XAs,WalesOnline,Moment teen hijacks police car and leaves trail of destruction during 100mph chase,35000
5fARBP1lWY0,WalesOnline,What happens at a Jehovah's Witnesses baptism,31000
gBF3LiMt3J8,WalesOnline,The brilliant nicknames of the British and Irish Lions 2017,30000
geH2XbD2Dd4,WalesOnline,Wales fans belt out stunning rendition of Yma o Hyd,29000
Gz9zswfjxAw,WalesOnline,Gavin and Stacey's Ruth Jones goes full-on Nessa in Barry Island,29000
r5eMAERlY8M,WalesOnline,The grim reality of life as a prostitute in Swansea,29000
9dNaC7h7Q50,WalesOnline,A UFO sighting over the Valleys,26000
lk9mZdArbgs,WalesOnline,Amy Ellis who documented struggle with anorexia dies,26000
AaMvScuC5R4,WalesOnline,Charlotte Church performs Glitterbombed,26000
75MJOINqoVE,WalesOnline,Actor George Sampson gives a lesson in ska dancing,24000
RNYauR437Zo,WalesOnline,Gareth Bale loses it after scoring first-ever hole-in-one,24000
yZY2DpD4qwY,WalesOnline,What it's like to work as a life model,23000
XLDRfWyzv5Q,WalesOnline,'I drove through country villages at 20mph to see what the fuss is about',23000
VuYbl3Bt_JA,WalesOnline,Shocking video shows highspeed road rage,22000
ne-qMpI8OJY,WalesOnline,A step back to 1970s Swansea,22000
hjsFcz8pDXA,WalesOnline,Awkward moment former PM Liz Truss loses her seat,21000
NsRutJqScPA,WalesOnline,Families protest outside Parc prison after series of deaths,20000
