video_id,channel_name,video_title,view_count
MLgn_kVKjCE,MotleyFool,"Jack Bogle on Index Funds, Vanguard, and Investing Advice",1900000
_lPUBJLYgF0,MotleyFool,Buying Stocks vs Real Estate Investing -- Which is Better?,145000
HoBkkpwl4r4,MotleyFool,What Does Your Social Security Number Mean?,123000
IFja5oYLdww,MotleyFool,Why Investing in Gold isn't a Good Idea,109000
HpELLjrreTA,MotleyFool,How Do I Start Investing? How Do I Buy a Stock? | Ask A Fool,93000
uCdK7YNijX8,MotleyFool,How to Invest Money - Find the Best Way for You,77000
4mRbWh6HiaA,MotleyFool,Unveiled: The All-New 2015 Cadillac Escalade | Motor Money by The Motley Fool,67000
OmUOXvajDmc,MotleyFool,What Happens When a Company You Own Stock in is Bought?,64000
BcL1rDsNWyY,MotleyFool,The Best Safety Stock in a Rough Market,3400
CjmtlmL8dGM,MotleyFool,This Dividend Stock Also Has Huge Growth Potential,6900
H15HO3fFXMg,MotleyFool,4 Things Ford Stock Investors Should Know!,8600
E0x9kDwK7tI,MotleyFool,These Types of Stocks Can Outpace Inflation,2100
P2T9l8fcKyI,MotleyFool,MercadoLibre vs. Sea Limited: Who Will Win Out?,4800
3ZeeYfspJZc,MotleyFool,Is Intel or TSM the Better Semiconductor Play?,2600
aQ0Qx37cMnE,MotleyFool,"Disney+, Jobs, and Big Tech's Return to Office",1100
KBl4BqEOyVI,MotleyFool,What is a Dividend and are High Yield Dividend Stocks Actually Good?,61000
UUwoswPAXjU,MotleyFool,5 Stocks Worth Buying Now While the Market is Down,54000
5kenPOQVelE,MotleyFool,Howard Marks: Mastering the Market Cycle,49000
Zh9JUHlV7GM,MotleyFool,Dividend Yield - The Formula and How to Spot the Best Dividend Stocks,46000
6bzgvbW4T-w,MotleyFool,3 Days in Tesla's P85D Model S: Truly Insane,42000
i1oldm6D6Bw,MotleyFool,What is 5G? Behind the Mobile Network of The Future,40000
vVdBATXxbBg,MotleyFool,"Value in the U.S. Market | Interview with Bruce Greenwald, Professor at Columbia Business School",39000
wvk8JjW38Qk,MotleyFool,5 Stocks We Just Bought on the Market Dip,36000
LyAl7ocNbcg,MotleyFool,"Interview: Herb Kelleher, Legendary CEO of Southwest Airines",34000
VBdE0nV94Q8,MotleyFool,"Interview with Vanguard Founder, Jack Bogle (Full Version)",32000
NBKS4lMq5lI,MotleyFool,How Does Costco Make Money?,31000
ERiJP-hb-2o,MotleyFool,Emergency Fund: How Much Money Should I Have in Savings?,29000
v7zO4uxRmnU,MotleyFool,Should I Invest in a Whole Life Insurance Policy? | Ask a Fool,28000
CRCz-nfv8_c,MotleyFool,Living Off Your Stocks' Dividends - Ask a Fool,27000
9gTCTlQlD1Q,MotleyFool,How To Start Investing in Real Estate With Very Little Money,26000
z-s0yXoa5DQ,MotleyFool,What's the Difference Between a Growth Stock and a Value Stock?,26000
_ALJSpHHw4o,MotleyFool,"What's the Most Tax-Efficient Way to Invest - IRAs, 401ks, Brokerage Accounts?",25000
xOiWoANJ1Jo,MotleyFool,What is Slack? Behind the Company That's Kind of IPO-ing,24000
g2hP0aTs75A,MotleyFool,Why Closing a Credit Card Could HURT Your Credit Score,23000
BLVV2DRVu3c,MotleyFool,4 Money Saving Tips for 2020,23000
iN5b2soyO2Q,MotleyFool,What Stocks Do Well in a Recession? And What Should Investors Stay Away From?,22000
0jwVnS7x9TU,MotleyFool,Ford's 800 Pound Gorilla Will Make Your Skin Crawl,21000
DV1Ez3wlRJw,MotleyFool,How Visa and MasterCard Make Money | Where the Money Is - 1/27/14 | The Motley Fool,20000
PXKhUaM_Tug,MotleyFool,How Social Security Works for Divorced Spouses,20000
2GjRd2IKrk4,MotleyFool,The Pitfalls and Payoff of MLPs,19000
6Shm-h-vqAQ,MotleyFool,What Is The S&P 500? - The Motley Fool Investing Basics,18000
2XQHH7Cx9aY,MotleyFool,When is Dividend Reinvestment a Bad Idea? - Ask a Fool,18000
EKo8XVtQxpo,MotleyFool,What Is the Russell 2000?,17000
urUbcUufO90,MotleyFool,"Elon Musk: Tesla Shorts, and Why Big Companies Struggle to Innovate",16000
J_7ebL6reBo,MotleyFool,Happy Thanksgiving from The Motley Fool!,16000
omuMbgHjH7k,MotleyFool,How to Invest: 5 Effective Investing Principles,15000
aKMSwHypKow,MotleyFool,2 Hot Stocks to Buy for 2019,15000
QaWoBsPTdLg,MotleyFool,Can You Convert a 401k Into a Roth IRA?,15000
gW35UZ0YlO0,MotleyFool,How One Little-Known Business Makes Almost ALL of Amazon's Money,15000
dF4hJ9olBQM,MotleyFool,"This Mighty Marvel Character Could Be Disney's Next ""Iron Man""",14000
YJTDv6r4_sE,MotleyFool,"What Is an Institutional Investor, and How Do They Impact Stock Volatility?",14000
bae7yDpMvgk,MotleyFool,Portfolio Allocation And Rebalancing,14000
qIOWQdwQBnU,MotleyFool,"$100 into $1,000? | Ask a Fool - 07/18/2014 | The Motley Fool",13000
b1DsUF6Fl10,MotleyFool,What is the minimum number of shares I can buy in a stock? - Ask a Fool,13000
pRJwBrr_Gto,MotleyFool,What is The Internet of Things?,13000
gBBWkJ6_0X4,MotleyFool,Is Toyota Giving Up on the Tundra?,13000
lPrdG_0IbMU,MotleyFool,"Black Friday ""Deals"" That Are HUGE Wastes of Money",13000
QI-nS7POXDA,MotleyFool,Why the Federal Reserve Just CUT Interest Rates,13000
5hWCz3oCyqQ,MotleyFool,Why You Should Buy Individual Stocks,12000
73eGJzSrhsE,MotleyFool,REITs vs Stocks: How are they Taxed Differently?,12000
YBS8owp1maA,MotleyFool,The Dow Jones -- The Stocks and How the Index Stacks Up to the S&P 500,12000
sozyA26ZBKE,MotleyFool,The 2015 Ford Mustang -- Unveiled! | Motor Money - 12/6/13 | The Motley Fool,11000
Ow4or3WV4W8,MotleyFool,Who Gets Rich When Miley Cyrus Shakes Her Moneymaker? | Motley Fool Money Buzz,11000
