video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids
uMR6_i3bzuM,60 MINUTES of SpongeBob’s BEST Disguises 🥸 | Nickelodeon Cartoon Universe,https://www.youtube.com/watch?v=uMR6_i3bzuM,Nicktoons,2022-12-17T05:59:49-08:00,True
NRLlg6yUqSU,"Paw Patrol's Skye, Chase, Marshall, and Rubble Best Baby Pup Episode Compilation!",https://www.youtube.com/watch?v=NRLlg6yUqSU,Genevieve's Playhouse - Learning Videos for Kids,2019-09-06T21:53:06-07:00,True
P3rldkft6u0,🔴 PEPPA PIG TALES LIVE 🐷 BRAND NEW PEPPA PIG TALES 🐽 EPISODES LIVE 24/7,https://www.youtube.com/watch?v=P3rldkft6u0,Playtime With Peppa,2023-10-04T14:32:23-07:00,True
5QA3mMUjwdg,Every Creature Power Transformation Part 1-13 | Wild Kratts,https://www.youtube.com/watch?v=5QA3mMUjwdg,Wild Kratts,2023-08-31T01:00:05-07:00,True
MEjEagpOod4,Feeding the Bee Friend! | The Fixies | Cartoons for Kids | WildBrain Wonder,https://www.youtube.com/watch?v=MEjEagpOod4,WildBrain Wonder,2023-03-25T09:00:21-07:00,True
cy5QAGkysAc,Beware of Strangers | Stranger Danger | Safety Tips | Kids Cartoon | Sheriff Labrador | BabyBus,https://www.youtube.com/watch?v=cy5QAGkysAc,BabyBus - Kids Songs and Cartoons,2023-10-17T03:30:25-07:00,True
uU-MHM8ruRQ,Best Loud House & Casagrandes HOLIDAY Moments! ❄️ | Nickelodeon Cartoon Universe,https://www.youtube.com/watch?v=uU-MHM8ruRQ,Nicktoons,2021-11-27T06:00:19-08:00,True
IGcFHwtTlz0,Keeping The Fixies Safe! | The Fixies | Animation for Kids,https://www.youtube.com/watch?v=IGcFHwtTlz0,The Fixies,2023-01-02T08:00:05-08:00,True
HtRg8kSy_-8,Best Robot Fights and Battles! 💥🤖 | 40 Minute Compilation | SpongeBob,https://www.youtube.com/watch?v=HtRg8kSy_-8,SpongeBob SquarePants Official,2023-03-30T05:59:59-07:00,True
kx8_wF9HOX8,Faceytalk | Full Episode - SERIES 3 | Bluey,https://www.youtube.com/watch?v=kx8_wF9HOX8,Bluey - Official Channel,2023-10-31T09:00:38-07:00,True
XeY50-Zx5zU,Feeding the Bee Friend! | The Fixies | Animation for Kids,https://www.youtube.com/watch?v=XeY50-Zx5zU,The Fixies,2023-08-30T07:00:23-07:00,True
I1C-498pVPA,Bluey Season 2 Full Episodes | Bluey,https://www.youtube.com/watch?v=I1C-498pVPA,Bluey - Official Channel,2023-08-30T08:00:11-07:00,True
gIZviWJAZok,Chips Wonderful Day Out | Chip & Potato | Cartoons For Kids | WildBrain Kids,https://www.youtube.com/watch?v=gIZviWJAZok,WildBrain Kids,2023-07-17T07:00:34-07:00,True
vRGtrVDJdhs,The Airbag!  | The Fixies | Cartoons for Kids | WildBrain - Kids TV Shows,https://www.youtube.com/watch?v=vRGtrVDJdhs,WildBrain Fizz,2023-01-10T11:00:20-08:00,True
Wzt4Gx2HNBU,Fixie Performers! 🎪 | The Fixies | Animation for Kids,https://www.youtube.com/watch?v=Wzt4Gx2HNBU,The Fixies,2022-10-31T09:00:19-07:00,True
g4FHH2D_zz4,Pink Panther's Big Chill | 35 Minute Compilation | Pink Panther & Pals,https://www.youtube.com/watch?v=g4FHH2D_zz4,Official Pink Panther,2019-05-16T10:00:05-07:00,True
XotrdbSown8,Zig & Sharko 🌈 RAINBOW SADNESS 🌈 NEW Season 3 episodes in HD,https://www.youtube.com/watch?v=XotrdbSown8,Oggy & his friends,2022-10-10T01:30:10-07:00,True
XYmqQIVTpbU,Cool Joe Loses His Groove | Supa Strikas Soccer Cartoon | Football Videos,https://www.youtube.com/watch?v=XYmqQIVTpbU,Supa Strikas Soccer #Shorts,2023-09-22T04:00:35-07:00,True
YpszayXvm8E,BEST of SpongeBob Season 9! (Part 1) 🥇 | 1-Hour Compilation | SpongeBob SquarePants,https://www.youtube.com/watch?v=YpszayXvm8E,SpongeBob SquarePants Official,2022-12-09T05:59:47-08:00,True
OcaW323FOUo,"Excavator, Tractor, Fire Trucks & Police Cars for Kids",https://www.youtube.com/watch?v=OcaW323FOUo,Kidibli (Kinder Spielzeug Kanal),2020-04-04T03:30:02-07:00,True
4Qh4lZWlOp8,The Amazing World of Gumball | Customer Service Struggles | Cartoon Network UK 🇬🇧,https://www.youtube.com/watch?v=4Qh4lZWlOp8,Cartoon Network UK,2019-04-12T10:00:00-07:00,True
OuQ1K6GjEDc,The Wattersons Origin Stories | The Amazing World Of Gumball | Cartoon Network,https://www.youtube.com/watch?v=OuQ1K6GjEDc,Cartoon Network,2018-07-01T15:34:13-07:00,True
g3iW22su030,Candy CRAVING? Tom's Taste Test! | The Fixies | Cartoons for Kids | WildBrain Wonder,https://www.youtube.com/watch?v=g3iW22su030,WildBrain Wonder,2023-10-28T06:00:38-07:00,True
nTk6-qUl8ww,Kid-E-Cats | NEW Episodes Compilation | Best cartoons for Kids 2022,https://www.youtube.com/watch?v=nTk6-qUl8ww,Kid-E-Cats,2022-02-05T06:00:18-08:00,True
C2i7gMh3BUs,The Amazing World of Gumball - The Re-Run (Exclusive Episode!),https://www.youtube.com/watch?v=C2i7gMh3BUs,Cartoon Network Australia,2017-02-24T14:00:00-08:00,True
8ONRjw_MKQI,Anais Makes Friends! | The Amazing World of Gumball | Cartoon Network,https://www.youtube.com/watch?v=8ONRjw_MKQI,Cartoon Network,2022-08-21T06:01:06-07:00,True
UxIGYOTdPbk,Cousin or IMPOSTER? The Fixies Investigate! | The Fixies | Animation for Kids,https://www.youtube.com/watch?v=UxIGYOTdPbk,The Fixies,2023-05-05T05:00:32-07:00,True
KmnIKZqTr9Q,The List | Gumball | Cartoon Network,https://www.youtube.com/watch?v=KmnIKZqTr9Q,The Amazing World of Gumball,2021-08-05T00:00:06-07:00,True
ug5MMsEzYDw,🔴LIVE: Sports Day with Bluey | Bluey,https://www.youtube.com/watch?v=ug5MMsEzYDw,Bluey - Official Channel,2023-06-29T09:14:51-07:00,True
HfEVEGf1A8Q,Spookiz: The Movie | Cartoons for Kids | Official Full Movie,https://www.youtube.com/watch?v=HfEVEGf1A8Q,Spookiz - Cartoons for Everyone,2020-07-24T03:41:05-07:00,True
-VgEVCJ-TCI,The Amazing World of Gumball | Richard's New Beautiful Body | Cartoon Network,https://www.youtube.com/watch?v=-VgEVCJ-TCI,Cartoon Network UK,2017-09-28T10:00:00-07:00,True
EdCx2Yih3OM,The Faith | Gumball | Cartoon Network,https://www.youtube.com/watch?v=EdCx2Yih3OM,The Amazing World of Gumball,2020-12-10T04:30:01-08:00,True
PCcJEQ7GbIs,Gumball School Blues 🎒 | Cartoon Network,https://www.youtube.com/watch?v=PCcJEQ7GbIs,Cartoon Network Australia,2019-10-20T21:43:44-07:00,True
cqFJ5tiIJ94,The Amazing World of Gumball | Don't Be a Sell-Out | Cartoon Network,https://www.youtube.com/watch?v=cqFJ5tiIJ94,Cartoon Network UK,2018-02-11T08:00:02-08:00,True
NEsyCeMit9g,The Amazing World of Gumball | How to Make the Perfect Meal | Cartoon Network,https://www.youtube.com/watch?v=NEsyCeMit9g,Cartoon Network UK,2017-11-28T10:00:05-08:00,True
1NLyCCrNncs,Mini Bluey | Full Episode - Series 3 | Bluey,https://www.youtube.com/watch?v=1NLyCCrNncs,Bluey - Official Channel,2023-10-10T08:00:03-07:00,True
t0Q2otsqC4I,Tom & Jerry | Tom & Jerry in Full Screen | Classic Cartoon Compilation | WB Kids,https://www.youtube.com/watch?v=t0Q2otsqC4I,WB Kids,2021-11-20T06:00:32-08:00,True
3F1Ilb5AsHQ,The BEST PIZZA EVER 🍕 | Peppa Pig Full Episodes,https://www.youtube.com/watch?v=3F1Ilb5AsHQ,Peppa Pig - Official Channel,2023-05-27T22:00:03-07:00,True
hdkpxK2a-tY,Smoochy Kiss | Full Episode - Series 3 | Bluey,https://www.youtube.com/watch?v=hdkpxK2a-tY,Bluey - Official Channel,2023-10-24T08:00:35-07:00,True
VX9XFycC0y4,Bluey Full Episode | Ragdoll | S3 E24 | Full Episode | @disneyjunior,https://www.youtube.com/watch?v=VX9XFycC0y4,Disney Junior,2023-10-17T04:45:01-07:00,True
gZi9ksVP3Os,Ben and Holly’s Little Kingdom | Superheroes Ben and Holly | Cartoon for Kids,https://www.youtube.com/watch?v=gZi9ksVP3Os,Ben and Holly’s Little Kingdom – Official Channel,2020-02-17T22:00:06-08:00,True
3sTImnH8Z-8,🔴LIVE: Games time with Bluey | Bluey,https://www.youtube.com/watch?v=3sTImnH8Z-8,Bluey - Official Channel,2023-02-20T09:05:20-08:00,True
ZFGgcUVqyWw,🔴 Live: Bluey Series 2 Full Episodes,https://www.youtube.com/watch?v=ZFGgcUVqyWw,Bluey - Official Channel,2022-12-29T08:47:44-08:00,True
