video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
eqZ_E9nKdoM,Minecraft NOOB vs PRO: LONGEST STAIRCASE BUILD CHALLENGE,https://www.youtube.com/watch?v=eqZ_E9nKdoM,Maizen,2022-05-28T11:00:18-07:00,False,False,0,0,0
1R5u3xQUUqI,Hamster Escapes from the Prison Maze for Pets in real life 🐹 in Hamster stories Part 4,https://www.youtube.com/watch?v=1R5u3xQUUqI,Mister Hamster,2021-11-19T04:00:02-08:00,False,False,1,1,1
OPo5_EBO5JM,The Box - Animator vs. Animation VI - Ep 2,https://www.youtube.com/watch?v=OPo5_EBO5JM,Alan Becker,2023-11-04T05:00:10-07:00,False,False,2,2,2
mwKJfNYwvm8,I Built 100 Wells In Africa,https://www.youtube.com/watch?v=mwKJfNYwvm8,MrBeast,2023-11-04T09:00:00-07:00,False,False,3,3,3
0xNmWaumkn0,NOOB vs HACKER: I CHEATED in a Build Challenge,https://www.youtube.com/watch?v=0xNmWaumkn0,Maizen,2022-06-16T11:00:00-07:00,False,False,4,4,4
y1Z-O_iGpMg,"IF YOU CHOOSE THE WRONG STAIR, YOU DIE! - Minecraft",https://www.youtube.com/watch?v=y1Z-O_iGpMg,Maizen,2022-10-03T11:00:20-07:00,False,False,5,5,5
8s8kK7p8ues,SAFEST SECURITY HOUSE vs ZOMBIE SHARK - Minecraft,https://www.youtube.com/watch?v=8s8kK7p8ues,Maizen,2023-10-29T04:00:09-07:00,False,False,6,6,6
DBPVWTGhWC0,NOOB vs PRO: PRISON BREAK BUILD CHALLENGE,https://www.youtube.com/watch?v=DBPVWTGhWC0,Maizen,2022-05-30T11:00:06-07:00,False,False,7,7,7
JQcEDLt-5C4,Playing A LUCKY BLOCK RACE in Minecraft,https://www.youtube.com/watch?v=JQcEDLt-5C4,Maizen,2021-12-11T15:00:18-08:00,False,False,8,8,8
GC-CnHxwB6Y,10 Security Build Hacks vs Zombies - Minecraft,https://www.youtube.com/watch?v=GC-CnHxwB6Y,Maizen,2021-12-29T10:00:09-08:00,False,False,9,9,9
khUpw6ryx0M,NOOB vs PRO: FULLY AUTOMATIC SECURITY HOUSE BUILD CHALLENGE in Minecraft,https://www.youtube.com/watch?v=khUpw6ryx0M,Maizen,2021-12-25T15:00:17-08:00,False,False,10,10,10
mkVbczfTo5w,Minecraft NOOB vs PRO: SAFEST SECURITY HOUSE BUILD CHALLENGE TO PROTECT FAMILY,https://www.youtube.com/watch?v=mkVbczfTo5w,Maizen,2023-10-22T04:00:38-07:00,False,False,11,11,11
tbDTotvxpL4,Minecraft NOOB vs PRO: SAFEST SECURITY TOWER BUILD CHALLENGE,https://www.youtube.com/watch?v=tbDTotvxpL4,Maizen,2022-02-08T12:00:12-08:00,False,False,12,12,12
dUdp_MSKMwA,7 Security Build Hacks vs Pillagers - Minecraft,https://www.youtube.com/watch?v=dUdp_MSKMwA,Maizen,2022-02-23T11:45:00-08:00,False,False,13,13,13
A59WgEEl57k,NOOB vs PRO: GIANT MAZE BUILD CHALLENGE,https://www.youtube.com/watch?v=A59WgEEl57k,Maizen,2022-06-06T11:00:03-07:00,False,False,14,14,14
wODRsuNvpys,Minecraft FAMILY WATER PARK BUILD CHALLENGE - NOOB vs PRO vs HACKER vs GOD / Animation,https://www.youtube.com/watch?v=wODRsuNvpys,WiederDude,2022-06-11T03:30:08-07:00,False,False,15,15,15
y9BKCVx_mNk,Super Mario Party - All Minigames (Master CPU),https://www.youtube.com/watch?v=y9BKCVx_mNk,MarioPartyGaming,2020-03-16T05:00:18-07:00,False,False,16,16,16
D9Q9vg-_TVM,Minecraft but there's Only One Lucky Block,https://www.youtube.com/watch?v=D9Q9vg-_TVM,Craftee,2023-10-28T07:00:08-07:00,False,False,17,17,17
PNqKqlYBK90,BABY ZOMBIE AND WOLF LIFE MOVIE | Minecraft Animation | All Episodes + Bonus,https://www.youtube.com/watch?v=PNqKqlYBK90,Cubic Animations,2022-06-29T03:11:33-07:00,False,False,18,18,18
WjOP0xVUwVA,Level UP: Mario and Tiny Mario's Maze Mayhem (ALL EPISODES),https://www.youtube.com/watch?v=WjOP0xVUwVA,Level UP,2023-10-21T09:20:21-07:00,False,False,19,19,19
gzyeKxsWcKQ,NOOB vs HACKER: I Cheated in a Build Challenge in Minecraft,https://www.youtube.com/watch?v=gzyeKxsWcKQ,MongoTV,2022-12-20T13:00:22-08:00,False,False,20,20,20
NI6TOSyhFeo,Aphmau's BIRTH to DEATH In Minecraft!,https://www.youtube.com/watch?v=NI6TOSyhFeo,Aphmau,2021-03-23T12:48:20-07:00,False,False,21,21,21
VbVLUVnGEJU,My SECRET ELEMENTAL ROOM To Hide From My FRIENDS!,https://www.youtube.com/watch?v=VbVLUVnGEJU,Aphmau,2023-10-26T12:15:00-07:00,False,False,22,22,22
gxKq_pixfCg,Super-Bean | Funny Episodes | Mr Bean Cartoon World,https://www.youtube.com/watch?v=gxKq_pixfCg,Mr Bean World,2019-07-31T09:30:01-07:00,False,False,23,23,23
kEpOa1MF7eE,Bean Time | Funny Episodes | Mr Bean Cartoon World,https://www.youtube.com/watch?v=kEpOa1MF7eE,Mr Bean World,2018-04-01T08:08:50-07:00,False,False,24,24,24
1APHXS2OMY4,HE FOUND MY CAMERA STASH!! | Hello Neighbor [Full Release] Act 3,https://www.youtube.com/watch?v=1APHXS2OMY4,Thinknoodles,2018-03-04T11:07:38-08:00,False,False,25,25,25
Z_LSp0j-bhw,Hamster Escapes The Awesome Minecraft Maze With Obstacle Course,https://www.youtube.com/watch?v=Z_LSp0j-bhw,Mister Hamster,2022-04-01T05:30:08-07:00,False,False,26,26,26
cu38F7beXj0,🐹Hamster escapes the awesome maze for Pets in real life 🐹 in Hamster stories Part 2,https://www.youtube.com/watch?v=cu38F7beXj0,Mister Hamster,2020-12-26T05:30:01-08:00,False,False,27,27,27
jH7e1fDcZnY,The Cat Raised by a Mouse,https://www.youtube.com/watch?v=jH7e1fDcZnY,AaronsAnimals,2021-04-23T05:30:15-07:00,False,False,28,28,28
BswgRFe8lw8,🐹Hamster Escapes from Prison Maze🐹,https://www.youtube.com/watch?v=BswgRFe8lw8,The Secret Life of my Hamster,2023-09-18T07:08:02-07:00,False,False,29,29,29
